YEAR,State,District,Tehsil,SlNo,SizeClass,total_hold,total_area,Entirely_in_the_Village_no.,Entirely_in_the_Village_ar,Partly_in_the_Village_no.,Partly_in_the_Village_ar,Entirely_Outside_the_Village_no.,Entirely_Outside_the_Village_ar
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,15557,3044,15550,3041,0,0,7,3
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,6085,4327,6085,4327,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,6519,9386,6519,9386,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3681,9006,3673,8989,8,17,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,2311,8014,2311,8014,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1410,6290,1410,6290,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1928,11626,1928,11626,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,865,7445,865,7445,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,741,9621,741,9621,0,0,0,0
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,93,3739,88,3606,5,133,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13302,2860,13302,2860,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5559,4569,5559,4569,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7385,8903,7385,8903,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3810,8397,3810,8397,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,3912,12552,3912,12552,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2368,9964,2368,9964,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2174,10894,2174,10894,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,605,4598,605,4598,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,312,3151,312,3151,0,0,0,0
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,208,5012,208,5012,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,26188,5644,26188,5644,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,9590,6831,9580,6825,0,0,10,6
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7935,11279,7935,11279,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3508,8585,3508,8585,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1804,6213,1804,6213,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1036,4609,1036,4609,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1219,7334,1219,7334,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,456,3868,456,3868,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,389,5159,389,5159,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,61,1832,61,1832,0,0,0,0
