"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","19/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","22/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","23/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","26/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","27/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","28/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","29/04/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","01/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","03/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","04/05/2017","11500","12000","11500"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","05/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","06/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","07/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","08/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","09/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","10/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","11/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","12/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","15/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","19/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","23/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","25/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","26/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","28/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","29/05/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","03/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","09/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","13/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","14/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","16/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","17/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","18/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","19/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","21/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","22/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","26/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","27/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","28/06/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","03/07/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","10/07/2017","12500","13000","12500"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","26/07/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","04/09/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","05/09/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","07/09/2017","12000","12500","12000"
"Andhra Pradesh","Srikakulam","Hiramandalam","Cashew Kernnel","Cashew Kernnel","14/09/2017","12000","12500","12000"
"Andhra Pradesh","Vijayanagaram","Gajapathinagaram","Cashew Kernnel","Cashew Kernnel","27/03/2017","74000","78000","75000"
"Orissa","Khurda","Balugaon","Cashew Kernnel","Cashewnut","09/04/2017","52000","57000","56000"
"Orissa","Khurda","Balugaon","Cashew Kernnel","Cashewnut","10/04/2017","52000","55000","54000"
"Orissa","Khurda","Balugaon","Cashew Kernnel","Cashewnut","11/04/2017","52500","55000","54000"
"Orissa","Khurda","Balugaon","Cashew Kernnel","Cashewnut","13/04/2017","53000","56000","55000"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","14/07/2017","2500","2700","2600"
"Tamil Nadu","Nagercoil (Kannyiakumari)","Monday Market","Cashew Kernnel","Cashew Kernnel","15/09/2017","2600","2800","2700"
