YEAR,State,District,Tehsil,SlNo,SizeClass,total_hold,total_area,net_sown_ar,current_fallow,net_cultivated_ar,uncultivat,oth_fallow,cult_waste_land,total_uncult_lnd,not_avail
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,15557,3044,2037,103,2140,131,217,131,479,425
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,6085,4327,2419,216,2635,288,428,355,1071,620
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,6519,9386,4467,485,4952,659,1251,940,2850,1585
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3681,9006,3971,478,4449,734,1356,969,3059,1498
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,2311,8014,3494,286,3780,635,1273,1000,2908,1328
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1410,6290,2335,336,2671,789,915,843,2547,1072
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1928,11626,4523,641,5164,1029,1863,1564,4456,2005
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,865,7445,2671,274,2945,707,1060,1377,3144,1355
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,741,9621,3440,336,3776,1169,1251,1596,4016,1828
1996,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,93,3739,1391,280,1671,238,461,1147,1846,223
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,13302,2860,1941,297,2238,34,194,146,374,248
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,5559,4569,2589,659,3247,166,430,311,907,414
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7385,8903,4049,1634,5683,644,983,803,2430,790
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3810,8397,3776,1713,5489,476,714,834,2024,884
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,3912,12552,4817,2797,7614,805,1455,1469,3728,1210
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,2368,9964,3948,1641,5590,838,1047,1302,3187,1188
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,2174,10894,4066,1816,5882,734,1654,1266,3654,1358
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,605,4598,1476,832,2308,389,774,499,1661,629
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,312,3151,1060,437,1497,201,574,434,1209,446
2001,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,208,5012,2475,881,3356,124,255,737,1115,541
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,1,0.5,26188,5644,5636,0,5636,0,0,0,0,7
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,2,1,9590,6831,6774,0,6774,3,4,0,7,50
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,3,2,7935,11279,11182,0,11182,3,7,10,20,77
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,4,3,3508,8585,8500,0,8500,0,7,14,21,63
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,5,4,1804,6213,6168,0,6168,0,3,8,11,33
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,6,5,1036,4609,4563,0,4563,0,4,16,21,26
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,7,7.5,1219,7334,7314,0,7314,0,5,15,20,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,8,10,456,3868,3843,25,3868,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,9,20,389,5159,5159,0,5159,0,0,0,0,0
2011,MAHARASHTRA,RATNAGIRI,DAPOLI,10,30,61,1832,1832,0,1832,0,0,0,0,0
