Crop,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
PADDY,550,560,570,580,700,850,950,1000,1080,1250,1310,1360,1410,1470
JOWAR,505,515,525,540,600,840,840,880,980,1500,1500,1530,1570,1625
BAJRA,505,515,525,540,600,840,840,880,980,1175,1250,1250,1275,1330
MAIZE,505,525,540,540,620,840,840,880,980,1175,1310,1310,1325,1365
RAGI,505,515,525,540,600,915,915,965,1050,1500,1500,1550,1650,1725
ARHAR(Tur),1360,1390,1400,1410,1550,2000,2300,3000,3200,3850,4300,4350,4425,4625
MOONG,1370,1410,1520,1520,1700,2520,2520,2900,3300,4300,4300,4350,4425,4575
GROUNDNUT,1400,1500,1520,1520,1550,2100,2100,2300,2700,3700,4000,4000,4030,4120
SUNFLOWER,1250,1340,1500,1500,1510,2215,2215,2350,2800,3700,3700,3750,3800,3850
SOYABEEN,840,900,900,900,910,1350,1350,1400,1650,2200,2500,2500,2300,2300
SESAMUM,1485,1500,1550,1560,1580,2750,2850,2900,3400,4200,4500,4600,4700,4800
NIGERSEED,1155,1180,1200,1220,1240,2405,2405,2450,2900,3500,3500,3600,3650,3725
